order_number,product_key,customer_id,order_date,ship_date,due_date,sales_amount,sales_quantity,sales_price
SO43758,BK-R93R-62,27646,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO44152,BK-M82S-44,11334,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44576,BK-R93R-52,28660,2011-05-01,2011-05-08,2011-05-13,3578,1,3578
SO45251,BK-R50B-60,19422,2011-07-30,2011-08-06,2011-08-11,699,1,699
SO45501,BK-M82B-44,25993,2011-08-26,2011-09-02,2011-09-07,3375,1,3375
SO45626,BK-R93R-62,11259,2011-09-04,2011-09-11,2011-09-16,3578,1,3578
SO45703,BK-R93R-62,19947,2011-09-16,2011-09-23,2011-09-28,3578,1,3578
SO47212,BK-M68B-42,12580,2012-02-14,2012-02-21,2012-02-26,2049,1,2049
SO47226,BK-R89R-44,13314,2012-02-16,2012-02-23,2012-02-28,2443,1,2443
SO47299,BK-R89R-48,13425,2012-02-23,2012-03-01,2012-03-06,2443,1,2443
SO48141,BK-M68S-42,12299,2012-05-09,2012-05-16,2012-05-21,2071,1,2071
SO48160,BK-R89R-58,14848,2012-05-11,2012-05-18,2012-05-23,2182,1,2182
SO48479,BK-R89B-44,22939,2012-06-06,2012-06-13,2012-06-18,2182,1,2182
SO48901,BK-M68S-38,13960,2012-07-12,2012-07-19,2012-07-24,2071,1,2071
SO49211,BK-M68S-42,27020,2012-08-03,2012-08-10,2012-08-15,2071,1,2071
SO49240,BK-M68S-38,14058,2012-08-06,2012-08-13,2012-08-18,2071,1,2071
SO49304,BK-R64Y-38,19437,2012-08-13,2012-08-20,2012-08-25,1000,1,1000
SO49925,BK-R89B-52,16391,2012-10-01,2012-10-08,2012-10-13,2182,1,2182
SO50098,BK-R50R-52,15843,2012-10-18,2012-10-25,2012-10-30,783,1,783
SO50327,BK-R50B-52,21130,2012-10-28,2012-11-04,2012-11-09,783,1,783
SO50535,BK-R89B-58,24460,2012-11-17,2012-11-24,2012-11-29,2182,1,2182
SO50638,BK-R89R-58,24283,2012-11-26,2012-12-03,2012-12-08,2182,1,2182
SO50926,BK-M68S-42,15799,2012-12-12,2012-12-19,2012-12-24,2071,1,2071
SO51191,BK-M68B-46,12390,2012-12-29,2013-01-05,2013-01-10,2295,1,2295
SO51327,BC-R205,27745,2013-01-06,2013-01-13,2013-01-18,9,1,9
SO51375,BK-R89B-58,18209,2013-01-09,2013-01-16,2013-01-21,2443,1,2443
SO51462,BK-R79Y-40,22932,2013-01-14,2013-01-21,2013-01-26,1701,1,1701
SO51926,TT-R982,14557,2013-01-29,2013-02-05,2013-02-10,4,1,4
SO51927,TT-M928,25811,2013-01-29,2013-02-05,2013-02-10,5,1,5
SO52137,WB-H098,21120,2013-02-02,2013-02-09,2013-02-14,5,1,5
SO52158,BK-R64Y-44,24613,2013-02-03,2013-02-10,2013-02-15,1120,1,1120
